"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,0,0,0,0,0,0,0
0,0,0,287.923582834212,78.1544765787041,0,0,0,0,0
0,0,0,108.006430631253,0,141.048931190831,0,0,0,0
0,287.923582834212,108.006430631253,0,252.40515426206,117.737511077146,196.498154920978,0,0,0
0,78.1544765787041,0,252.40515426206,0,145.823104821639,63.9626486654704,0,0,0
0,0,141.048931190831,117.737511077146,145.823104821639,0,89.9161054805563,188.041458280233,122.828787595544,0
0,0,0,196.498154920978,63.9626486654704,89.9161054805563,0,140.245202124064,75.0326314393758,0
0,0,0,0,0,188.041458280233,140.245202124064,0,73.3024842390521,225.42469901465
0,0,0,0,0,122.828787595544,75.0326314393758,73.3024842390521,0,169.384528329962
0,0,0,0,0,0,0,225.42469901465,169.384528329962,0
