"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,140.4318326055,115.155424697031,104.518322203865,0,0,0,0,0,0,0,0
140.4371326055,0,237.175298313227,0,144.906163679457,327.509669068789,0,0,0,0,0,0
115.800024697031,237.148298313227,0,96.3667879115921,148.301255770989,163.27156116032,180.522618703883,0,0,0,0,0
105.519022203865,0,96.3655879115921,0,0,148.001958667154,95.4326162107166,105.629726497602,0,0,0,0
0,144.906163679457,148.301255770989,0,0,284.51552652655,0,0,225.681261156243,0,0,0
0,327.881869068789,163.27156116032,148.001958667154,284.51552652655,0,232.157789459445,0,149.553766545574,185.428188840431,0,0
0,0,180.521418703883,95.4326162107166,0,232.157789459445,0,116.229357289893,311.528924089137,48.6017241297342,192.832260429791,0
0,0,0,105.630426497602,0,0,116.229357289893,0,0,178.115856670879,79.0724707166767,0
0,0,0,0,225.681261156243,149.553766545574,311.528924089137,0,0,174.988323470123,0,155.662516321716
0,0,0,0,0,185.428188840431,48.6017241297342,178.115856670879,175.006623470123,0,112.801559810777,116.567338616573
0,0,0,0,0,0,192.832260429791,79.0724707166767,0,112.801559810777,0,145.63845266237
0,0,0,0,0,0,0,0,155.662516321716,116.567338616573,145.63845266237,0
