"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"4GdaGyf7CsSNB7oPrwDZAU","P095229","","2007","C","USD","108848301.942"
"qn64MxQaqQHzRmYb5kJAyG","P059055","","1998","C","USD","6628358.55448"
"48Y5ayHWD8rvi3zA7w8bz5","P108525","","2008","C","USD","3131957.41503"
"UFPpbdgnMqyMi2QQTEXBSh","P081616","","2005","C","USD","13886429.7943"
"QPoEbpMCNPzENEeGkEuXoa","P127876","","2013","C","USD","103291384.086"
"GHbDWjQmiKnH8dmpwZiRzV","P052256","","2005","C","USD","39675513.6979"
"zmMpoLhXGLrTEYrkEaii3g","P121220","","2010","C","USD","76292423.5281"
"9N8muNK2PPQWYsqXJR48GB","P078716","","2005","C","USD","569649689.813"
"2yFx3d9RWXQsUvCVkK78UU","P129770","","2014","C","USD","60000000.0"
"f8z2LmpPzeoeAAaCEuST56","P062991","","1998","C","USD","3347652487.94"
"PDFdroJr5XeqeaySADVaBC","P113202","","2010","C","USD","23286040.9162"
"qLWU53c4sATPWPuSsmpdXB","P084596","","2004","C","USD","14054822.8275"
"M8azCoUx799WUmVnwHP3LS","P129992","","2014","C","USD","17000000.0"
"nLdq9XqpAtA7XebayZGCVn","P008506","","1995","C","USD","57141305.5687"
"5pbyTQUaK5AZBtAvQNjXLQ","P149884","","2014","C","USD","30000000.0"
"kevQ3HThuXVUWJ4koxkKY9","P002992","","1999","C","USD","105601428.723"
"JbQSpcASsetaeKkETD599o","P094220","","2006","C","USD","54905164.2315"
"VAFgx473du6cYn5Uh4BTD7","P113350","","2013","C","USD","17043078.3741"
"GHDsJReXgELcTKR7awTypN","P074819","","2001","C","USD","7496666.60719"
"LatjZpGpvQcTWrZ8DhGoDh","P132101","","2012","C","USD","100148059.087"
"5cFokoZc2LqhJtkT7j4xQo","P147514","","2014","C","USD","65000000.0"
"6Ff6y8qcdfZ5U3eUjxeULD","P112975","","2010","C","USD","30639527.5213"
"d8HDLfNy7igwakzAG8t3bA","P003639","","1995","C","USD","344099102.877"
"8ZDX9zVrxXXEdUxo78Fc9i","P040199","","1998","C","USD","152452246.753"
"iYSEJq4XfEZM2whoVTZKt9","P008271","","1996","C","USD","10914537.7099"
"tcrz8NYZzgfKW6thtwKBUM","P039292","","1997","C","USD","9384540.89405"
"PQzXREVeLMnBTwmDkHotue","P089793","","2007","C","USD","5335701.07559"
"QXGreXDNPUgw8VN8LFpmqk","P124844","","2011","C","USD","2000000.0"
"2rD3sE9gQD9oB2eixocaFm","P126974","","2014","C","USD","150000000.0"
"zCXqQADP7PvjPB9htVxiWj","P122642","","2013","C","USD","12911423.0107"
"JaJorBjL7UQ4aSmod78ZVk","P040713","","1997","C","USD","15283395.1703"
"yKVCjnars2v4maqkT4MsL8","P121833","","2010","C","USD","30639527.5213"
"8ryRFvc82FthYNKnUeWvGN","P126421","","2012","C","USD","197841508.882"
"Tnxkut8swytZUZghm3M7M9","P049311","","1996","C","USD","27422775.9962"
"i8jsjyxSvJscDzCeWVMQqP","P131212","","2013","C","USD","113620522.494"
"3xKdLp7vBFgLDJfYhhpCVE","P096409","","2007","C","USD","17074243.4419"
"KG2oH3aFgkpJcKp5KAi4sc","P043297","","1996","C","USD","68215860.6869"
"GKg4KTHYLhAzxSzNa8pUEg","P044267","","1995","C","USD","4031868.27614"
"HuqvtzyKrBnFQLgy9NRLRe","P110147","","2010","C","USD","25532939.6011"
"Ne7sP7Ab6pp6j8t2kfimzC","P128939","","2011","C","USD","27210000.0"
"PP83ERvaPQUsikYJq9Tecc","P122201","","2012","C","USD","68729060.1577"
"PAsHo8dNtDqPPwaMcz8Y8b","P004004","","1996","C","USD","88680618.893"
"SjuuQrNRLBBrHXMf4AMPrS","P103276","","2006","C","USD","18118704.1964"
"TYEWmbAGdDyMhrkPWECugk","P073776","","2003","C","USD","289011006.743"
"ydMRSoeiK2x8n5o7ck6bFj","P035827","","1998","C","USD","397701513.269"
"5pR7tr3jgAndPMxcTMyLFA","P108768","","2008","C","USD","9709067.98658"
"eom4RWihCmHeSvPYzcnEyk","P146726","","2014","C","USD","30000000.0"
"ewmqNVTaza43gjj8zSTWY9","P146768","","2014","C","USD","35600000.0"
"zRF7NFpgEVdNAJrKCVFyqG","P112516","","2009","C","USD","141169189.307"
"xqZ3BbwV7bEnwPzcefFXFh","P102966","","2007","C","USD","26678505.3779"
"vtfYzUuTtZmNrb76SJuKFW","P001799","","1999","C","USD","39159985.9296"
"Zb46aEL98CiS7YG7FQxxCA","P082871","","2003","C","USD","180631879.215"
"bq8aqkhpSBZ3NCp2zDgPRi","P050772","","2000","C","USD","258218783.831"
"eph7ccqSZWRCkSWdVCpNYY","P107242","","2008","C","USD","10439858.0501"
"tQECV9KTreFs3PC86GWVuY","P003637","","1997","C","USD","93845408.9405"
"eX9WDQtnN58u5RMbMMGQDe","P035641","","1999","C","USD","221906586.934"
"G3TutXn8MTeQRspjFyT9XC","P107395","","2009","C","USD","7244753.11693"
"zENrXV67nVaGHyKMvXjMTN","P107614","","2008","C","USD","20879716.1002"
"r2jmt4UgjVAkaafCLtAv7h","P075730","","2004","C","USD","201452460.528"
"n7KR2LhGkryev4nGUyWVjP","P131027","","2014","C","USD","73100000.0"
"tUDoBhojXNp3TsboEQdGLJ","P145057","","2013","C","USD","2220764.75784"
"PJMVw9zRZvfnJeGU3MfSb5","P078707","","2004","C","USD","18154146.1522"
"qAb4GjaQywMoqDvantZPyK","P052037","","2001","C","USD","207832587.24"
"qhniAi2PdXGmcne5tehZUD","P069858","","2001","C","USD","62734605.0579"
"yXgWD3mvA6SYcvRhtXW3E8","P131539","","2013","C","USD","4338238.13159"
"yxD49HDci9TxcZwMoptksg","P117102","","2011","C","USD","30000000.0"
"YXkFmEkX6JGGcMmhW6kjEH","P114827","","2013","C","USD","180759922.15"
"vR4ceR8NZfV7KeFUDRcRuk","P001866","","1995","C","USD","41708982.1669"
"u4Sgaay5KHoJH3tSAcYyt","P144928","","2013","C","USD","12704840.2425"
"v8aFMT9f7yD8Pfz34EidTK","P129920","","2014","C","USD","600000000.0"
"9Zaf95ZHaNTZTH24JPXANK","P130528","","2012","C","USD","23564249.1969"
"aYpFgfuWKdoictpwZHT4vM","P008523","","1996","C","USD","25239868.4542"
"RMhUo3xYXB2JRiopoY99bP","P126278","","2013","C","USD","17043078.3741"
"AuZLHHjCLrkNuvuzfM2xgi","P122785","","2012","C","USD","15689862.5903"
"86djFBJ4SUxeRiqUdPakCg","P130891","","2014","C","USD","19400000.0"
"SReKHjXd7HpwYyXj3ksK3E","P131325","","2014","C","USD","138000000.0"
"fWHSu4JRHFETtV97NsFGVU","P130840","","2014","C","USD","200000000.0"
"thRTs6YJBpy9dbnwU3Lfy6","P130012","","2013","C","USD","103291384.086"
"tQ2aCsmQ7hoS5mkdW6JenE","P121673","","2011","C","USD","710400000.0"
"igeDvG87H9a692f2S5LANc","P122406","","2014","C","USD","46000000.0"
"cGnQWg7MPoeYk7vvCtjrtn","P114042","","2011","C","USD","15800000.0"
"XxYwtSF4GE5EYorVMgZwBj","P111153","","2010","C","USD","166474766.199"
"Yqrk7zsgLt63TX2snuACpi","P083108","","2008","C","USD","469793612.254"
"AjcFBpwsyp3Qajfyx4YqpM","P113844","","2012","C","USD","270007022.048"
"6xq2MNJw6oHfBjA4AYrkB9","P081368","","2004","C","USD","52705585.6033"
"uQdZQtiz2Pu6huKo2tg9ZK","P120536","","2014","C","USD","85000000.0"
"VRfSJsUHX8vE7Rt2eygJRg","P143594","","2014","C","USD","15000000.0"
"RRcf43UBhQi4XNA4k3BomB","P114348","","2011","C","USD","150000000.0"
"mDvPvTJH55xe4rUXbMWfu8","P143915","","2013","C","USD","21691190.658"
"5c62e3dnFcK3TGGuWc264E","P144270","","2014","C","USD","35000000.0"
"ZfiiKQrYfFhGNFkZzuReuB","P099059","","2006","C","USD","43924131.3852"
"wiFYLvRKBT9AtnpAGKyhK3","P127038","","2013","C","USD","165266214.537"
"RdMfSLgk3tUddXSrSSZgw8","P082396","","2004","C","USD","46849409.4251"
"jyRUqKN4uFrYCKoFFTDCyB","P111598","","2010","C","USD","153197637.607"
"qPZnT84W76T5R8Dn3zZANB","P108791","","2008","C","USD","5219929.02504"
"e79onJsKhHGRxj5MD4CPkk","P102398","","2010","C","USD","28392628.8364"
"nLUqGoFmEiD9279Gm7Y4jU","P112456","","2011","C","USD","27500000.0"
"uea3im9pWP39kP88P9nBbL","P130972","","2012","C","USD","147276557.481"
"uynLBqGGJf5ZYk22ECsQhn","P145778","","2014","C","USD","107000000.0"
"oPR4iA6Pd7go4dEwoBi5gk","P130847","","2014","C","USD","50000000.0"
"jAkD7gKdY5vr8UEHhVmffk","P133446","","2014","C","USD","25000000.0"
"VnPDYSfkMAVzeijYSBdeQn","P111017","","2011","C","USD","1200000000.0"
"27Dog6TufoEu82RQ9WzCSB","P119039","","2013","C","USD","103291384.086"
"J3JVYf6fwom3kkXVNJtR2j","P082378","","2003","C","USD","60210626.4049"
"sg2BG2Bz4mJNZbiRUTkB3m","P147006","","2014","C","USD","30000000.0"
"cnq4zwEppvNoZgP59sm8Gi","P129793","","2012","C","USD","14727655.7481"
"s9VLhcmYZ8cKDNheuFQFPL","P127203","","2012","C","USD","88365934.4885"
"HkQiawehWzs8PcW9JitkHZ","P133590","","2014","C","USD","175000000.0"
"zDrwGvdcj8n3c3HCbLuRVc","P147740","","2014","C","USD","70000000.0"
"QkZA2uZ82jzAUEmJQwqaWC","P101645","","2007","C","USD","112049722.587"
"b2ufxff7rCrBRKZ3xR4Cpf","P094084","","2007","C","USD","48021309.6803"
"7HYoWx77BrEs9ToXcfGgLM","P126325","","2014","C","USD","165000000.0"
"c65gxfYTN3JjKcNM9mr7i4","P083352","","2006","C","USD","5490516.42315"
"bzVKN5xSzcubmm2cwHzUZb","P127433","","2012","C","USD","973399860.576"
