"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"P001807","P001807_7874471",3,7874471,"Chemba District",-17.16474,34.88777,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7874471","Earth|Africa|Mozambique|Sofala Province|Chemba District",1,1
"P001807","P001807_7874473",3,7874473,"Maringué District",-17.96355,34.39219,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7874473","Earth|Africa|Mozambique|Sofala Province|Maringué District",1,1
"P001807","P001807_7670756",3,7670756,"Matutiune District",-26.43418,32.5882,"ADM2","second-order administrative division","6295630|6255146|MZ|04|7670756","Earth|Africa|Mozambique|Maputo|Matutiune District",1,1
"P001807","P001807_7873988",3,7873988,"Nicodala District",-17.603,36.814,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7873988","Earth|Africa|Mozambique|Província de Zambézia|Nicodala District",1,1
"P044613","P044613_7869945",3,7869945,"North Western Tigray",14.02038,38.1639,"ADM2","second-order administrative division","6295630|6255146|ET|53|7869945","Earth|Africa|Ethiopia|Tigray|North Western Tigray",1,1
"P057296","P057296_214140",3,214140,"Kasai",-5.35,21.41667,"ADM2","second-order administrative division","6295630|6255146|CD|03|214140","Earth|Africa|DR Congo|Province du Kasaï-Occidental|Kasai",1,1
"P067103","P067103_156512",3,156512,"Micheweni District",-4.97135,39.77614,"ADM2","second-order administrative division","6295630|6255146|TZ|13|156512","Earth|Africa|Tanzania|Pemba North|Micheweni District",1,1
"P067103","P067103_148841",3,148841,"Wete Area",-5.09125,39.76193,"ADM2","second-order administrative division","6295630|6255146|TZ|13|148841","Earth|Africa|Tanzania|Pemba North|Wete Area",1,1
"P092537","P092537_214140",3,214140,"Kasai",-5.35,21.41667,"ADM2","second-order administrative division","6295630|6255146|CD|03|214140","Earth|Africa|DR Congo|Province du Kasaï-Occidental|Kasai",1,1
"P096305","P096305_214140",3,214140,"Kasai",-5.35,21.41667,"ADM2","second-order administrative division","6295630|6255146|CD|03|214140","Earth|Africa|DR Congo|Province du Kasaï-Occidental|Kasai",1,1
"P125740","P125740_156512",3,156512,"Micheweni District",-4.97135,39.77614,"ADM2","second-order administrative division","6295630|6255146|TZ|13|156512","Earth|Africa|Tanzania|Pemba North|Micheweni District",1,1
"P125740","P125740_148841",3,148841,"Wete Area",-5.09125,39.76193,"ADM2","second-order administrative division","6295630|6255146|TZ|13|148841","Earth|Africa|Tanzania|Pemba North|Wete Area",1,1
"P129524","P129524_7873988",3,7873988,"Nicodala District",-17.603,36.814,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7873988","Earth|Africa|Mozambique|Província de Zambézia|Nicodala District",1,1
"P001785","P001785_7874406",3,7874406,"Angoche District",-16.23272,39.91106,"ADM2","second-order administrative division","6295630|6255146|MZ|06|7874406","Earth|Africa|Mozambique|Nampula|Angoche District",1,1
"P001785","P001785_9072735",3,9072735,"Bilene Macia District",-25.01612,33.16889,"ADM2","second-order administrative division","6295630|6255146|MZ|02|9072735","Earth|Africa|Mozambique|Gaza Province|Bilene Macia District",1,1
"P001785","P001785_7873985",3,7873985,"Chibabava District",-20.292,33.531,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7873985","Earth|Africa|Mozambique|Sofala Province|Chibabava District",1,1
"P001785","P001785_7646374",3,7646374,"Gondola District",-19.15,33.66,"ADM2","second-order administrative division","6295630|6255146|MZ|10|7646374","Earth|Africa|Mozambique|Manica Province|Gondola District",1,1
"P001785","P001785_1090080",3,1090080,"Manhica",-25.39417,32.83389,"ADM2","second-order administrative division","6295630|6255146|MZ|04|1090080","Earth|Africa|Mozambique|Maputo|Manhica",1,1
"P001785","P001785_8693192",3,8693192,"Marracuene District",-25.73938,32.67436,"ADM2","second-order administrative division","6295630|6255146|MZ|04|8693192","Earth|Africa|Mozambique|Maputo|Marracuene District",1,1
"P001785","P001785_7909715",3,7909715,"Massinga District",-23.03229,35.26166,"ADM2","second-order administrative division","6295630|6255146|MZ|03|7909715","Earth|Africa|Mozambique|Inhambane Province|Massinga District",1,1
"P001785","P001785_1038879",3,1038879,"Memba",-13.96591,40.39437,"ADM2","second-order administrative division","6295630|6255146|MZ|06|1038879","Earth|Africa|Mozambique|Nampula|Memba",1,1
"P001785","P001785_7909714",3,7909714,"Zavala District",-24.67289,34.6926,"ADM2","second-order administrative division","6295630|6255146|MZ|03|7909714","Earth|Africa|Mozambique|Inhambane Province|Zavala District",1,1
"P001807","P001807_1053142",3,1053142,"Alto Molócuè",-15.64932,37.66384,"ADM2","second-order administrative division","6295630|6255146|MZ|09|1053142","Earth|Africa|Mozambique|Província de Zambézia|Alto Molócuè",1,1
"P001807","P001807_1052446",3,1052446,"Barue District",-17.81047,33.17267,"ADM2","second-order administrative division","6295630|6255146|MZ|10|1052446","Earth|Africa|Mozambique|Manica Province|Barue District",1,1
"P001807","P001807_7873983",3,7873983,"Boane District",-26.029,32.389,"ADM2","second-order administrative division","6295630|6255146|MZ|04|7873983","Earth|Africa|Mozambique|Maputo|Boane District",1,1
"P001807","P001807_7909828",3,7909828,"Cahora Bassa District",-15.70766,32.67334,"ADM2","second-order administrative division","6295630|6255146|MZ|08|7909828","Earth|Africa|Mozambique|Tete|Cahora Bassa District",1,1
