"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"P001807","P001807_7874046",3,7874046,"Caia District",-17.769,35.058,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7874046","Earth|Africa|Mozambique|Sofala Province|Caia District",1,1
"P001807","P001807_7905000",3,7905000,"Changara District",-16.21651,33.17113,"ADM2","second-order administrative division","6295630|6255146|MZ|08|7905000","Earth|Africa|Mozambique|Tete|Changara District",1,1
"P001807","P001807_7874614",3,7874614,"Cheringoma District",-18.53268,35.3183,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7874614","Earth|Africa|Mozambique|Sofala Province|Cheringoma District",1,1
"P001807","P001807_7873985",3,7873985,"Chibabava District",-20.292,33.531,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7873985","Earth|Africa|Mozambique|Sofala Province|Chibabava District",1,1
"P001807","P001807_7905199",3,7905199,"Chifunde District",-14.81794,32.83331,"ADM2","second-order administrative division","6295630|6255146|MZ|08|7905199","Earth|Africa|Mozambique|Tete|Chifunde District",1,1
"P001807","P001807_7905529",3,7905529,"Chiuta District",-15.564,33.302,"ADM2","second-order administrative division","6295630|6255146|MZ|08|7905529","Earth|Africa|Mozambique|Tete|Chiuta District",1,1
"P001807","P001807_1035304",3,1035304,"Circunscrição da Mutarara",-16.86781,34.77309,"ADM2","second-order administrative division","6295630|6255146|MZ|08|1035304","Earth|Africa|Mozambique|Tete|Circunscrição da Mutarara",1,1
"P001807","P001807_1037018",3,1037018,"Circunscrição de Mossurize",-20.51262,32.94367,"ADM2","second-order administrative division","6295630|6255146|MZ|10|1037018","Earth|Africa|Mozambique|Manica Province|Circunscrição de Mossurize",1,1
"P001807","P001807_1037109",3,1037109,"Circunscrição de Mopeia",-17.83292,36.0626,"ADM2","second-order administrative division","6295630|6255146|MZ|09|1037109","Earth|Africa|Mozambique|Província de Zambézia|Circunscrição de Mopeia",1,1
"P001807","P001807_1040396",3,1040396,"Circunscrição de Marromeu",-18.42526,35.74098,"ADM2","second-order administrative division","6295630|6255146|MZ|05|1040396","Earth|Africa|Mozambique|Sofala Province|Circunscrição de Marromeu",1,1
"P001807","P001807_1040587",3,1040587,"Circunscrição de Marávia",-15.0931,32.06545,"ADM2","second-order administrative division","6295630|6255146|MZ|08|1040587","Earth|Africa|Mozambique|Tete|Circunscrição de Marávia",1,1
"P001807","P001807_1041912",3,1041912,"Circunscrição de Màgoé",-15.90349,31.36636,"ADM2","second-order administrative division","6295630|6255146|MZ|08|1041912","Earth|Africa|Mozambique|Tete|Circunscrição de Màgoé",1,1
"P001807","P001807_1042871",3,1042871,"Circunscrição da Macanga",-14.80209,33.53494,"ADM2","second-order administrative division","6295630|6255146|MZ|08|1042871","Earth|Africa|Mozambique|Tete|Circunscrição da Macanga",1,1
"P001807","P001807_1045351",3,1045351,"Circunscrição do Ile",-16.18038,37.46609,"ADM2","second-order administrative division","6295630|6255146|MZ|09|1045351","Earth|Africa|Mozambique|Província de Zambézia|Circunscrição do Ile",1,1
"P001807","P001807_1052937",3,1052937,"Circunscrição da Angónia",-14.67449,34.16316,"ADM2","second-order administrative division","6295630|6255146|MZ|08|1052937","Earth|Africa|Mozambique|Tete|Circunscrição da Angónia",1,1
"P001807","P001807_1040948",3,1040948,"Concelho de Manica",-18.94857,32.89509,"ADM2","second-order administrative division","6295630|6255146|MZ|10|1040948","Earth|Africa|Mozambique|Manica Province|Concelho de Manica",1,1
"P001807","P001807_1049181",3,1049181,"Concelho do Chinde",-18.39491,36.32268,"ADM2","second-order administrative division","6295630|6255146|MZ|09|1049181","Earth|Africa|Mozambique|Província de Zambézia|Concelho do Chinde",1,1
"P001807","P001807_1051852",3,1051852,"Concelho do Búzi",-20.03925,34.37237,"ADM2","second-order administrative division","6295630|6255146|MZ|05|1051852","Earth|Africa|Mozambique|Sofala Province|Concelho do Búzi",1,1
"P001807","P001807_7873986",3,7873986,"Dondo District",-19.522,34.799,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7873986","Earth|Africa|Mozambique|Sofala Province|Dondo District",1,1
"P001807","P001807_7874708",3,7874708,"Gilé District",-16.14411,38.36752,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7874708","Earth|Africa|Mozambique|Província de Zambézia|Gilé District",1,1
"P001807","P001807_7646374",3,7646374,"Gondola District",-19.15,33.66,"ADM2","second-order administrative division","6295630|6255146|MZ|10|7646374","Earth|Africa|Mozambique|Manica Province|Gondola District",1,1
"P001807","P001807_1045789",3,1045789,"Gorongosa District",-18.609,34.238,"ADM2","second-order administrative division","6295630|6255146|MZ|05|1045789","Earth|Africa|Mozambique|Sofala Province|Gorongosa District",1,1
"P001807","P001807_7874045",3,7874045,"Guro District",-16.964,33.569,"ADM2","second-order administrative division","6295630|6255146|MZ|10|7874045","Earth|Africa|Mozambique|Manica Province|Guro District",1,1
"P001807","P001807_7873991",3,7873991,"Gurue District",-15.46358,36.98167,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7873991","Earth|Africa|Mozambique|Província de Zambézia|Gurue District",1,1
"P001807","P001807_7909704",3,7909704,"Inhassunge District",-18.03306,36.82363,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7909704","Earth|Africa|Mozambique|Província de Zambézia|Inhassunge District",1,1
"P001807","P001807_7874710",3,7874710,"Lugela District",-16.41699,36.72558,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7874710","Earth|Africa|Mozambique|Província de Zambézia|Lugela District",1,1
"P001807","P001807_7874474",3,7874474,"Machanga District",-20.96929,34.99738,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7874474","Earth|Africa|Mozambique|Sofala Province|Machanga District",1,1
"P001807","P001807_7874620",3,7874620,"Machaze District",-20.8021,33.41389,"ADM2","second-order administrative division","6295630|6255146|MZ|10|7874620","Earth|Africa|Mozambique|Manica Province|Machaze District",1,1
"P001807","P001807_7874622",3,7874622,"Macossa District",-17.89152,33.93694,"ADM2","second-order administrative division","6295630|6255146|MZ|10|7874622","Earth|Africa|Mozambique|Manica Province|Macossa District",1,1
"P001807","P001807_7874711",3,7874711,"Maganja da Costa District",-17.30729,37.50535,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7874711","Earth|Africa|Mozambique|Província de Zambézia|Maganja da Costa District",1,1
"P001807","P001807_7873976",3,7873976,"Magude District",-25.02389,32.6515,"ADM2","second-order administrative division","6295630|6255146|MZ|04|7873976","Earth|Africa|Mozambique|Maputo|Magude District",1,1
"P001807","P001807_1090080",3,1090080,"Manhica",-25.39417,32.83389,"ADM2","second-order administrative division","6295630|6255146|MZ|04|1090080","Earth|Africa|Mozambique|Maputo|Manhica",1,1
"P001807","P001807_8693192",3,8693192,"Marracuene District",-25.73938,32.67436,"ADM2","second-order administrative division","6295630|6255146|MZ|04|8693192","Earth|Africa|Mozambique|Maputo|Marracuene District",1,1
"P001807","P001807_7874712",3,7874712,"Milange District",-16.09992,35.77578,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7874712","Earth|Africa|Mozambique|Província de Zambézia|Milange District",1,1
"P001807","P001807_7873980",3,7873980,"Moamba District",-25.60934,32.24321,"ADM2","second-order administrative division","6295630|6255146|MZ|04|7873980","Earth|Africa|Mozambique|Maputo|Moamba District",1,1
"P001807","P001807_1037394",3,1037394,"Moatize",-15.97317,34.00248,"ADM2","second-order administrative division","6295630|6255146|MZ|08|1037394","Earth|Africa|Mozambique|Tete|Moatize",1,1
"P001807","P001807_7880951",3,7880951,"Mocuba District",-16.83683,36.9871,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7880951","Earth|Africa|Mozambique|Província de Zambézia|Mocuba District",1,1
"P001807","P001807_7873993",3,7873993,"Morrumbala District",-17.329,35.591,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7873993","Earth|Africa|Mozambique|Província de Zambézia|Morrumbala District",1,1
"P001807","P001807_7874472",3,7874472,"Muanza District",-18.89955,34.79679,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7874472","Earth|Africa|Mozambique|Sofala Province|Muanza District",1,1
"P001807","P001807_8301113",3,8301113,"Namaacha District",-26.109,32.18,"ADM2","second-order administrative division","6295630|6255146|MZ|04|8301113","Earth|Africa|Mozambique|Maputo|Namaacha District",1,1
"P001807","P001807_8714615",3,8714615,"Namacurra District",-17.49137,37.02607,"ADM2","second-order administrative division","6295630|6255146|MZ|09|8714615","Earth|Africa|Mozambique|Província de Zambézia|Namacurra District",1,1
"P001807","P001807_7874724",3,7874724,"Namarroi District",-15.95275,36.87063,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7874724","Earth|Africa|Mozambique|Província de Zambézia|Namarroi District",1,1
"P001807","P001807_7873984",3,7873984,"Nhamatanda District",-19.349,34.268,"ADM2","second-order administrative division","6295630|6255146|MZ|05|7873984","Earth|Africa|Mozambique|Sofala Province|Nhamatanda District",1,1
"P001807","P001807_7874726",3,7874726,"Pebane District",-17.26378,38.13698,"ADM2","second-order administrative division","6295630|6255146|MZ|09|7874726","Earth|Africa|Mozambique|Província de Zambézia|Pebane District",1,1
"P001807","P001807_7670758",3,7670758,"Sussundenga District",-19.69082,33.27154,"ADM2","second-order administrative division","6295630|6255146|MZ|10|7670758","Earth|Africa|Mozambique|Manica Province|Sussundenga District",1,1
"P001807","P001807_7874624",3,7874624,"Tambara District",-16.72359,34.25571,"ADM2","second-order administrative division","6295630|6255146|MZ|10|7874624","Earth|Africa|Mozambique|Manica Province|Tambara District",1,1
"P001807","P001807_7874106",3,7874106,"Tsangano District",-15.20012,34.32685,"ADM2","second-order administrative division","6295630|6255146|MZ|08|7874106","Earth|Africa|Mozambique|Tete|Tsangano District",1,1
"P001808","P001808_1049858",3,1049858,"Distrito de Chibuto",-24.28852,33.5983,"ADM2","second-order administrative division","6295630|6255146|MZ|02|1049858","Earth|Africa|Mozambique|Gaza Province|Distrito de Chibuto",1,1
"P001808","P001808_7874115",3,7874115,"Lichinga District",-13.29701,35.24698,"ADM2","second-order administrative division","6295630|6255146|MZ|07|7874115","Earth|Africa|Mozambique|Niassa Province|Lichinga District",1,1
"P002797","P002797_159239",3,159239,"Ilala District",-6.91805,39.16254,"ADM2","second-order administrative division","6295630|6255146|TZ|23|159239","Earth|Africa|Tanzania|Dar es Salaam Region|Ilala District",1,1
"P002797","P002797_157383",3,157383,"Kilwa District Council",-9.03945,39.04456,"ADM2","second-order administrative division","6295630|6255146|TZ|07|157383","Earth|Africa|Tanzania|Lindi|Kilwa District Council",1,1
"P002797","P002797_157253",3,157253,"Kinondoni Municipal Council",-6.71666,39.14436,"ADM2","second-order administrative division","6295630|6255146|TZ|23|157253","Earth|Africa|Tanzania|Dar es Salaam Region|Kinondoni Municipal Council",1,1
"P002797","P002797_7840038",3,7840038,"Mkuranga",-7.27,39.2,"ADM2","second-order administrative division","6295630|6255146|TZ|02|7840038","Earth|Africa|Tanzania|Pwani|Mkuranga",1,1
"P002797","P002797_150487",3,150487,"Rufiji District Council",-7.95743,38.72662,"ADM2","second-order administrative division","6295630|6255146|TZ|02|150487","Earth|Africa|Tanzania|Pwani|Rufiji District Council",1,1
"P002952","P002952_7056273",3,7056273,"Abim District",2.75,33.75,"ADM2","second-order administrative division","6295630|6255146|UG|N|7056273","Earth|Africa|Uganda|Northern Region|Abim District",1,1
"P002952","P002952_443782",3,443782,"Adjumani District",3.25,31.75,"ADM2","second-order administrative division","6295630|6255146|UG|N|443782","Earth|Africa|Uganda|Northern Region|Adjumani District",1,1
"P002952","P002952_8030566",3,8030566,"Agago District",2.92023,33.35336,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030566","Earth|Africa|Uganda|Northern Region|Agago District",1,1
"P002952","P002952_8030568",3,8030568,"Alebtong District",2.26925,33.24234,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030568","Earth|Africa|Uganda|Northern Region|Alebtong District",1,1
"P002952","P002952_7056275",3,7056275,"Amolatar District",1.63333,32.83333,"ADM2","second-order administrative division","6295630|6255146|UG|N|7056275","Earth|Africa|Uganda|Northern Region|Amolatar District",1,1
"P002952","P002952_8030560",3,8030560,"Amudat District",1.80626,34.9278,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030560","Earth|Africa|Uganda|Northern Region|Amudat District",1,1
"P002952","P002952_7056276",3,7056276,"Amuria District",2.08333,33.66667,"ADM2","second-order administrative division","6295630|6255146|UG|E|7056276","Earth|Africa|Uganda|Eastern Region|Amuria District",1,1
"P002952","P002952_7056278",3,7056278,"Amuru District",2.99945550295703,32.002883944392,"ADM2","second-order administrative division","6295630|6255146|UG|N|7056278","Earth|Africa|Uganda|Northern Region|Amuru District",1,1
"P002952","P002952_443327",3,443327,"Apac District",1.902,32.6,"ADM2","second-order administrative division","6295630|6255146|UG|N|443327","Earth|Africa|Uganda|Northern Region|Apac District",1,1
"P002952","P002952_443328",3,443328,"Arua District",2.96667,31.16667,"ADM2","second-order administrative division","6295630|6255146|UG|N|443328","Earth|Africa|Uganda|Northern Region|Arua District",1,1
"P002952","P002952_7056279",3,7056279,"Budaka District",1.05249,33.99221,"ADM2","second-order administrative division","6295630|6255146|UG|E|7056279","Earth|Africa|Uganda|Eastern Region|Budaka District",1,1
"P002952","P002952_234411",3,234411,"Bukedea District",1.36667,34.13333,"ADM2","second-order administrative division","6295630|6255146|UG|E|234411","Earth|Africa|Uganda|Eastern Region|Bukedea District",1,1
"P002952","P002952_7056283",3,7056283,"Dokolo District",1.93607,33.06137,"ADM2","second-order administrative division","6295630|6255146|UG|N|7056283","Earth|Africa|Uganda|Northern Region|Dokolo District",1,1
"P002952","P002952_443331",3,443331,"Gulu District",2.85604,32.43001,"ADM2","second-order administrative division","6295630|6255146|UG|N|443331","Earth|Africa|Uganda|Northern Region|Gulu District",1,1
"P002952","P002952_7056286",3,7056286,"Kaabong District",3.58333,33.9963600413969,"ADM2","second-order administrative division","6295630|6255146|UG|N|7056286","Earth|Africa|Uganda|Northern Region|Kaabong District",1,1
"P002952","P002952_448215",3,448215,"Kaberamaido District",1.75732,33.22576,"ADM2","second-order administrative division","6295630|6255146|UG|E|448215","Earth|Africa|Uganda|Eastern Region|Kaberamaido District",1,1
"P002952","P002952_443785",3,443785,"Katakwi District",1.92157,34.04753,"ADM2","second-order administrative division","6295630|6255146|UG|E|443785","Earth|Africa|Uganda|Eastern Region|Katakwi District",1,1
"P002952","P002952_8030572",3,8030572,"Kibuku District",1.05,33.80879,"ADM2","second-order administrative division","6295630|6255146|UG|E|8030572","Earth|Africa|Uganda|Eastern Region|Kibuku District",1,1
"P002952","P002952_443346",3,443346,"Kitgum District",3.406,33.336,"ADM2","second-order administrative division","6295630|6255146|UG|N|443346","Earth|Africa|Uganda|Northern Region|Kitgum District",1,1
"P002952","P002952_7056289",3,7056289,"Koboko District",3.50410571514405,30.9901552266261,"ADM2","second-order administrative division","6295630|6255146|UG|N|7056289","Earth|Africa|Uganda|Northern Region|Koboko District",1,1
"P002952","P002952_8030565",3,8030565,"Kole District",2.29701,32.74402,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030565","Earth|Africa|Uganda|Northern Region|Kole District",1,1
"P002952","P002952_443347",3,443347,"Kotido District",3.0018024365111,34.1,"ADM2","second-order administrative division","6295630|6255146|UG|N|443347","Earth|Africa|Uganda|Northern Region|Kotido District",1,1
"P002952","P002952_443348",3,443348,"Kumi District",1.49617989314703,33.95,"ADM2","second-order administrative division","6295630|6255146|UG|E|443348","Earth|Africa|Uganda|Eastern Region|Kumi District",1,1
"P002952","P002952_8030562",3,8030562,"Lamwo District",3.55004,32.75057,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030562","Earth|Africa|Uganda|Northern Region|Lamwo District",1,1
"P002952","P002952_443349",3,443349,"Lira District",2.274,32.953,"ADM2","second-order administrative division","6295630|6255146|UG|N|443349","Earth|Africa|Uganda|Northern Region|Lira District",1,1
"P002952","P002952_443356",3,443356,"Moroto District",2.6389,34.64395,"ADM2","second-order administrative division","6295630|6255146|UG|N|443356","Earth|Africa|Uganda|Northern Region|Moroto District",1,1
"P002952","P002952_443357",3,443357,"Moyo District",3.65,31.72,"ADM2","second-order administrative division","6295630|6255146|UG|N|443357","Earth|Africa|Uganda|Northern Region|Moyo District",1,1
"P002952","P002952_448221",3,448221,"Nakapiripirit District",1.90718,34.59601,"ADM2","second-order administrative division","6295630|6255146|UG|N|448221","Earth|Africa|Uganda|Northern Region|Nakapiripirit District",1,1
"P002952","P002952_8030561",3,8030561,"Napak District",2.38153,34.16834,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030561","Earth|Africa|Uganda|Northern Region|Napak District",1,1
"P002952","P002952_443360",3,443360,"Nebbi District",2.46732,31.26293,"ADM2","second-order administrative division","6295630|6255146|UG|N|443360","Earth|Africa|Uganda|Northern Region|Nebbi District",1,1
"P002952","P002952_8030570",3,8030570,"Ngora District",1.48203,33.75832,"ADM2","second-order administrative division","6295630|6255146|UG|E|8030570","Earth|Africa|Uganda|Eastern Region|Ngora District",1,1
"P002952","P002952_7869939",3,7869939,"Nwoya District",2.50974,31.88448,"ADM2","second-order administrative division","6295630|6255146|UG|N|7869939","Earth|Africa|Uganda|Northern Region|Nwoya District",1,1
"P002952","P002952_8030567",3,8030567,"Otuke District",2.48372,33.34201,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030567","Earth|Africa|Uganda|Northern Region|Otuke District",1,1
"P002952","P002952_7056295",3,7056295,"Oyam District",2.38129,32.50071,"ADM2","second-order administrative division","6295630|6255146|UG|N|7056295","Earth|Africa|Uganda|Northern Region|Oyam District",1,1
"P002952","P002952_448222",3,448222,"Pader District",2.956,32.8,"ADM2","second-order administrative division","6295630|6255146|UG|N|448222","Earth|Africa|Uganda|Northern Region|Pader District",1,1
"P002952","P002952_443362",3,443362,"Pallisa District",1.22593,33.77977,"ADM2","second-order administrative division","6295630|6255146|UG|E|443362","Earth|Africa|Uganda|Eastern Region|Pallisa District",1,1
"P002952","P002952_8030569",3,8030569,"Serere District",1.487,33.452,"ADM2","second-order administrative division","6295630|6255146|UG|E|8030569","Earth|Africa|Uganda|Eastern Region|Serere District",1,1
"P002952","P002952_443365",3,443365,"Soroti District",1.78481,33.59432,"ADM2","second-order administrative division","6295630|6255146|UG|E|443365","Earth|Africa|Uganda|Eastern Region|Soroti District",1,1
"P002952","P002952_448225",3,448225,"Yumbe District",3.52354,31.28243,"ADM2","second-order administrative division","6295630|6255146|UG|N|448225","Earth|Africa|Uganda|Northern Region|Yumbe District",1,1
"P002952","P002952_8030563",3,8030563,"Zombo District",2.52031,30.88824,"ADM2","second-order administrative division","6295630|6255146|UG|N|8030563","Earth|Africa|Uganda|Northern Region|Zombo District",1,1
"P003227","P003227_8714549",3,8714549,"Chibombo District",-14.65808,28.07376,"ADM2","second-order administrative division","6295630|6255146|ZM|02|8714549","Earth|Africa|Zambia|Central Province|Chibombo District",1,1
"P003227","P003227_919006",3,919006,"Chingola District",-12.48478,27.66313,"ADM2","second-order administrative division","6295630|6255146|ZM|08|919006","Earth|Africa|Zambia|Copperbelt|Chingola District",1,1
"P003227","P003227_917743",3,917743,"Choma District",-16.66667,27.16667,"ADM2","second-order administrative division","6295630|6255146|ZM|07|917743","Earth|Africa|Zambia|Southern Province|Choma District",1,1
"P003227","P003227_916082",3,916082,"Kabwe District",-14.4603,28.35502,"ADM2","second-order administrative division","6295630|6255146|ZM|02|916082","Earth|Africa|Zambia|Central Province|Kabwe District",1,1
"P003227","P003227_7671220",3,7671220,"Kafue district",-15.61994,28.44125,"ADM2","second-order administrative division","6295630|6255146|ZM|09|7671220","Earth|Africa|Zambia|Lusaka Province|Kafue district",1,1
"P003227","P003227_915082",3,915082,"Kalomo District",-17.147,26.679,"ADM2","second-order administrative division","6295630|6255146|ZM|07|915082","Earth|Africa|Zambia|Southern Province|Kalomo District",1,1
"P003227","P003227_914956",3,914956,"Kalulushi District",-12.66667,28.0136429312354,"ADM2","second-order administrative division","6295630|6255146|ZM|08|914956","Earth|Africa|Zambia|Copperbelt|Kalulushi District",1,1
"P003227","P003227_8285556",3,8285556,"Kapiri-Mposhi District",-14.151,27.748,"ADM2","second-order administrative division","6295630|6255146|ZM|02|8285556","Earth|Africa|Zambia|Central Province|Kapiri-Mposhi District",1,1
"P003227","P003227_911144",3,911144,"Kitwe District",-12.85,28.25,"ADM2","second-order administrative division","6295630|6255146|ZM|08|911144","Earth|Africa|Zambia|Copperbelt|Kitwe District",1,1
"P003227","P003227_910107",3,910107,"Livingstone District",-17.802,25.867,"ADM2","second-order administrative division","6295630|6255146|ZM|07|910107","Earth|Africa|Zambia|Southern Province|Livingstone District",1,1
"P003227","P003227_909857",3,909857,"Luanshya District",-13.05915,28.36081,"ADM2","second-order administrative division","6295630|6255146|ZM|08|909857","Earth|Africa|Zambia|Copperbelt|Luanshya District",1,1
"P003227","P003227_909134",3,909134,"Lusaka District",-15.4307,28.34419,"ADM2","second-order administrative division","6295630|6255146|ZM|09|909134","Earth|Africa|Zambia|Lusaka Province|Lusaka District",1,1
"P003227","P003227_8285557",3,8285557,"Masaiti District",-13.409,28.719,"ADM2","second-order administrative division","6295630|6255146|ZM|08|8285557","Earth|Africa|Zambia|Copperbelt|Masaiti District",1,1
"P003227","P003227_907108",3,907108,"Mazabuka District",-16.0008003728717,28.0138097105082,"ADM2","second-order administrative division","6295630|6255146|ZM|07|907108","Earth|Africa|Zambia|Southern Province|Mazabuka District",1,1
"P003227","P003227_906042",3,906042,"Monze District",-16.10444,27.35992,"ADM2","second-order administrative division","6295630|6255146|ZM|07|906042","Earth|Africa|Zambia|Southern Province|Monze District",1,1
"P003227","P003227_905389",3,905389,"Mufulira District",-12.52438,28.23854,"ADM2","second-order administrative division","6295630|6255146|ZM|08|905389","Earth|Africa|Zambia|Copperbelt|Mufulira District",1,1
"P003227","P003227_901339",3,901339,"Ndola Rural District",-12.91667,28.66667,"ADM2","second-order administrative division","6295630|6255146|ZM|08|901339","Earth|Africa|Zambia|Copperbelt|Ndola Rural District",1,1
"P003227","P003227_898909",3,898909,"Serenje District",-13.36222,30.23433,"ADM2","second-order administrative division","6295630|6255146|ZM|02|898909","Earth|Africa|Zambia|Central Province|Serenje District",1,1
