"ID","rownumber","x","y","productivity","rugg","pop"
23283,1,11.75,-4.25,1.30805756422394,732.5497375,31259.9291904836
23284,2,11.75,-3.75,0,599.2113,26926.2416407466
23286,3,11.75,-2.75,0,344.75413,16413.1341123581
23409,4,12.25,-4.25,7.72762776684503,640.79475,34904.5585949421
23410,5,12.25,-3.75,0.0752976385167193,696.958175,28472.9240045547
23411,6,12.25,-3.25,0,715.988325,26851.1599693298
23412,7,12.25,-2.75,0,174.001745,27464.7559067607
23543,8,12.75,-4.25,0.276027211633018,920.5572675,39218.7073001862
23544,9,12.75,-3.75,0,1296.933295,54509.3560805321
23545,10,12.75,-3.25,0,567.740975,26781.1747632027
23546,11,12.75,-2.75,0.0540130840611817,730.5107,27760.7376112938
23547,12,12.75,-2.25,0,237.75807,25500.3088511229
23686,13,13.25,-4.25,0.217706053970302,1608.59395,79136.0804828331
23687,14,13.25,-3.75,0.035702984603274,275.984425,32120.3033285141
23688,15,13.25,-3.25,0,1477.96995,25121.5456490517
23689,16,13.25,-2.75,0,631.5105775,25166.0210981369
23697,17,13.25,1.25,0,1340.746,5147.84564387798
23698,18,13.25,1.75,0,1131.214425,5934.28166651726
23837,19,13.75,-4.25,0.13740834665091,1541.8415,84575.4588105679
23838,20,13.75,-3.75,0.0145068084100632,542.96955,64655.5680338144
23839,21,13.75,-3.25,0,1066.475845,24017.9263775349
23840,22,13.75,-2.75,0,410.756325,24876.3354377747
23841,23,13.75,-2.25,0,349.762025,46186.8890008926
23849,24,13.75,1.75,0,136.246015,6823.63786184788
23995,25,14.25,-4.25,0.0455253413821368,602.034315,33692.9876648188
23996,26,14.25,-3.75,0,557.7153,52793.9691005945
23997,27,14.25,-3.25,0,466.240225,9548.22486662865
23998,28,14.25,-2.75,0,546.761165,19114.2395470142
23999,29,14.25,-2.25,0,764.277025,21459.1063671112
24003,30,14.25,-0.25,0,219.50051,20079.2693083286
24004,31,14.25,0.25,0,165.5004775,19669.2889250517
24007,32,14.25,1.75,0,240.4929375,6825.30829548836
24154,33,14.75,-4.75,0.0298695004806178,1267.273325,59091.9489335163
24155,34,14.75,-4.25,0.266891183967303,855.3051,5290.28685951233
24156,35,14.75,-3.75,0,446.474685,5293.5161523819
24157,36,14.75,-3.25,0,219.4944,5434.37625908852
24158,37,14.75,-2.75,0.0745029792502465,520.510985,11539.5757522583
24159,38,14.75,-2.25,0.0444820890813963,601.0211025,13622.0918281078
24160,39,14.75,-1.75,0.0669156335452697,860.722925,14257.5544302464
24161,40,14.75,-1.25,0.110497769603402,127.49897475,16285.5236313343
24162,41,14.75,-0.75,0.0509460682867646,277.50105,20152.5260996819
24163,42,14.75,-0.25,0,144.7503625,19741.7241640091
24164,43,14.75,0.25,0.0218864045919413,105.5003475,20077.8449993134
24165,44,14.75,0.75,0,120.2505,20151.0481739044
24166,45,14.75,1.25,0,117.7491225,11262.5417356491
24167,46,14.75,1.75,0,134.995965,6826.38515639305
24320,47,15.25,-4.25,0.0661585703270481,1774.1197,6874481.38772159
24321,48,15.25,-3.75,0.0679364485132372,407.723075,5293.51616346836
24322,49,15.25,-3.25,0,406.494325,5490.48653233051
24323,50,15.25,-2.75,0,1211.269405,13084.9450932741
24324,51,15.25,-2.25,0,487.01713375,13622.6919188499
24325,52,15.25,-1.75,0,286.741825,13633.8160812855
24326,53,15.25,-1.25,0.315802560571318,247.248225,14252.5820055008
24327,54,15.25,-0.75,0.0228345012383487,195.5005875,16081.586373806
24328,55,15.25,-0.25,0,184.5004725,15640.2952737808
24329,56,15.25,0.25,0.021714392611639,246.501025,15901.7576355934
24330,57,15.25,0.75,0,199.7506725,9425.41598379612
24331,58,15.25,1.25,0,181.9994065,7077.84187054634
24332,59,15.25,1.75,0,51.7482905,7160.88284087181
24491,60,15.75,-3.75,0,1775.143775,8106.16294296001
24492,61,15.75,-3.25,0,1028.23415,5296.34229719639
24493,62,15.75,-2.75,0,1922.267965,11704.3298258781
24494,63,15.75,-2.25,0,391.512975,13622.6918900013
24495,64,15.75,-1.75,0.155551279110898,296.7407175,13626.8439338207
24496,65,15.75,-1.25,1.01028069815851,146.748975,13749.3073720932
24497,66,15.75,-0.75,0.21622839472673,499.00165,14916.5531713963
24498,67,15.75,-0.25,0.564258428335555,49.7501125,14990.175693512
24499,68,15.75,0.25,0.127935079386041,49.0001575,13729.1503615379
24500,69,15.75,0.75,0,196.5006,6827.90816736221
24501,70,15.75,1.25,0,24.7499,6826.86817371845
24502,71,15.75,1.75,0.0950100605484551,317.2395175,8500.74209463596
24665,72,16.25,-1.75,0,248.992475,16442.3329896075
24666,73,16.25,-1.25,0.122378279931923,128.7490525,14512.8692104816
24667,74,16.25,-0.75,0.0083020443518918,43.25015025,14956.0519683361
24668,75,16.25,-0.25,0,80.0002125,14945.282525301
24669,76,16.25,0.25,0,52.500225,9098.41266226768
24670,77,16.25,0.75,0,45.2501575,6827.90816581249
24671,78,16.25,1.25,0.915491508679159,39.7498425,6732.78903114796
24672,79,16.25,1.75,0.454392166943734,40.99897,7668.31440010667
24673,80,16.25,2.25,0.0514077620681398,966.7797475,8726.52250134945
24840,81,16.75,-1.25,0.0841654375488353,122.99909,20773.4918881068
24841,82,16.75,-0.75,0,54.00022275,14843.8263261318
24842,83,16.75,-0.25,0,88.250215,14917.5488324165
24843,84,16.75,0.25,0,90.50025,10788.7876524329
24844,85,16.75,0.75,0,22.5000775,17270.5612727627
24845,86,16.75,1.25,0,23.749844,19042.5038604438
24846,87,16.75,1.75,0,80.9977325,20176.0598080158
24847,88,16.75,2.25,0,191.7564425,20289.1338002682
24848,89,16.75,2.75,0,591.0048775,31068.1374627352
24849,90,16.75,3.25,0,303.4942875,31080.8731417656
25011,91,17.25,-0.75,0,81.2502555,20252.8639680544
25012,92,17.25,-0.25,0,165.0002825,25637.6754568815
25013,93,17.25,0.25,0,234.7506,26996.8533262014
25014,94,17.25,0.75,0,75.5002925,31740.3677415848
25015,95,17.25,1.25,0.016462920405513,60.4995625,31521.4062683582
25016,96,17.25,1.75,0,21.49934675,31750.0576548576
25017,97,17.25,2.25,0,29.751005,31741.6670122147
25018,98,17.25,2.75,0,24.750425,31729.5752887726
25019,99,17.25,3.25,0.0388788721067268,82.24911,31715.0670518875
25180,100,17.75,-0.25,0,174.7504175,28180.6026521495
25181,101,17.75,0.25,0,141.5004855,28490.668779159
25182,102,17.75,0.75,0,137.2505175,28998.880365815
25183,103,17.75,1.25,0,275.9984975,30167.1971897837
25184,104,17.75,1.75,0,145.24613675,31751.3415813446
25185,105,17.75,2.25,0,169.2558725,31741.6670465469
25186,106,17.75,2.75,0,70.001165,31729.5752754211
25187,107,17.75,3.25,0,71.998735,31715.0670423508
25356,108,18.25,2.75,0,92.251345,47247.6210281162
25357,109,18.25,3.25,0.00392173246060047,71.998675,31897.5454421043
