1117.8,1142.6,1209.3,961.33,35.208
1128.9,1153.5,1219.7,973.87,56.488
1132.4,1157,1223.1,977.91,65.264
410.14,208.18,199.85,385.23,20.311
385.87,245.8,60.666,283.85,141.46
394.85,275.92,260.55,266.77,72.878
465.33,466.4,498.67,262.61,93.206
627.67,651.89,721.06,423.61,103.9
796.64,824.59,900.63,610.39,106.55
939.02,966.55,1040,763.69,88.784
1048.7,1074.7,1144.3,884.14,44.812
1103,1128.2,1195.5,944.79,55.756
1126.5,1151.1,1217.5,971.16,67.364
1133.4,1157.9,1224,978.94,73.067
235.73,69.136,285.37,280.49,145.65
246.27,286.04,325.91,77.219,159.58
429.72,482.37,549.62,255.59,74.809
601.33,636.87,713.51,405.99,92.113
807.2,836.54,914.06,623.09,81.157
943.06,970.74,1044.2,768.15,75.065
1038.9,1065.2,1135.2,873.3,68.641
1093.6,1118.8,1186.6,934.19,65.325
1123,1147.7,1214.2,967.2,38.671
1141.9,1166.3,1232,988.53,59.444
24.862,289.32,482.93,279.9,224.05
173.12,295.31,497.33,247.67,69.176
377.17,467.08,577.71,251.53,133.59
621,662.79,748.43,436.22,115.8
810.53,840.87,919.21,628.27,58.823
974.89,1002.3,1074.7,803.69,21.638
1052.1,1078.1,1147.7,887.9,37.556
1095.4,1120.7,1188.4,936.3,40.637
1124.6,1149.4,1215.8,969.07,75.418
1146.9,1171.2,1236.7,994.06,46.42
1156.1,1180.3,1245.4,1004.5,72.376
1167.2,1191.2,1255.8,1016.9,80.176
1069.7,1095.5,1164.3,907.61,55.418
1105.6,1130.7,1198,947.74,84.546
1129.1,1153.8,1220,974.1,87.357
1147.8,1172.1,1237.6,995.11,89.179
1164.6,1188.7,1253.3,1014,32.703
1132.3,1156.9,1223,977.72,105.66
