"from","to","dist","dur","share_unnamed","X.gmapdist.","X.gmapdur."
1,6,221.7042,1302.115,1,NA,NA
1,8,790.2375,1389.59333333333,0.487105900075091,NA,NA
2,3,55.7334,85.8,1,NA,NA
2,7,750.453,1229.615,0.578422022642054,NA,NA
2,9,162.974,177.828333333333,0.460858125661916,NA,NA
3,4,89.2949,95.955,0.680812677991688,NA,NA
3,8,60.9075,66.4733333333333,1,NA,NA
3,9,107.2415,92.0283333333333,0.180671661623532,NA,NA
3,10,191.9626,514.55,0.486854731077825,NA,NA
4,5,63.7621,72.475,1,NA,NA
4,9,100.7819,99.6766666666667,0.410877350000347,NA,NA
4,10,185.503,522.198333333333,0.622585415106718,NA,NA
4,11,294.4579,535.798333333333,0.35367376921243,NA,NA
5,10,246.8481,565.301666666667,0.716378095022038,NA,NA
5,11,355.803,578.901666666667,0.465108912827861,NA,NA
5,12,504.3833,398.583333333333,0.203722248535984,NA,NA
6,7,15.6014,93.6083333333333,1,NA,NA
6,13,360.1244,1006.29333333333,0.652864206293273,NA,NA
6,14,409.0438,1108.46666666667,0.645200413843414,NA,NA
7,13,344.523,912.685,0.63714447926233,NA,NA
7,14,393.4424,1014.85833333333,0.631131332632849,NA,NA
7,15,497.0488,986.776666666667,0.543425129856517,NA,NA
8,9,168.1427,158.516666666667,0.477431967013733,NA,NA
8,14,409.0937,461.145,0.391076814168291,NA,NA
8,15,258.646,223.916666666667,0.310372864842294,NA,NA
8,16,424.5583,379.061666666667,0.189082776578493,NA,NA
9,10,104.7013,427.421666666667,0.611011515616329,NA,NA
9,15,90.5033,65.4,0,NA,NA
9,16,256.4156,220.545,0,NA,NA
9,17,344.6367,445.568333333333,0,NA,NA
10,11,232.0704,812.87,0.545984361628507,NA,NA
10,16,348.6529,637.933333333333,0.183488167318222,NA,NA
10,17,436.874,862.956666666667,0.146435094229665,NA,NA
10,18,192.3421,498.318333333333,0.358671866429658,NA,NA
11,12,274.0464,498.415,0.228913789781584,NA,NA
11,17,525.8453,871.58,0.11929932257656,NA,NA
11,18,85.7378,364.181666666667,0.790163976491143,NA,NA
11,19,214.9853,456.738333333333,0.291801346417639,NA,NA
12,18,197.5801,157.978333333333,0.0262303611394259,NA,NA
12,19,59.0611,41.68,0,NA,NA
13,14,57.4121,248.955,0.997767021237683,NA,NA
13,20,98.0591,235.796666666667,1,NA,NA
13,21,113.8632,231.02,1,NA,NA
14,15,150.4635,237.305,0.456270789925796,NA,NA
14,20,104.1019,298.36,1,NA,NA
14,21,38.7482,218.638333333333,1,NA,NA
14,22,112.4709,219.78,0.610399321423872,NA,NA
15,16,165.9123,155.145,0,NA,NA
15,21,139.9954,188.481666666667,0.494716254962663,NA,NA
15,22,79.4324,65.4566666666667,0,NA,NA
15,23,194.6707,168.956666666667,0,NA,NA
16,17,88.2211,225.023333333333,0,NA,NA
16,22,109.8125,124.728333333333,0.101765281730222,NA,NA
16,23,100.4359,121.985,0.111265880759887,NA,NA
16,24,157.539,282.045,0.00309383708161154,NA,NA
17,18,486.1036,556.938333333333,0.0333037991687782,NA,NA
17,23,111.2344,235.876666666667,0,NA,NA
17,24,117.0575,343.596666666667,0.00416376567071738,NA,NA
17,25,553.7715,623.861666666667,0.0381711590430349,NA,NA
18,19,138.543,116.558333333333,0.0374079075867475,NA,NA
18,24,521.7721,542.786666666667,0.00995300438639782,NA,NA
18,25,76.9633,90.925,0.196789898562042,NA,NA
19,25,107.9325,113.303333333333,0.0923076067842339,NA,NA
20,21,95.9931,251.683333333333,1,NA,NA
20,26,133.9024,331.883333333333,0.58941376616665,NA,NA
20,27,95.3013,183.618333333333,0.171869999401896,NA,NA
21,22,102.009,170.923333333333,0.570442804066308,NA,NA
21,26,191.397,535.941666666667,0.784010198696949,NA,NA
21,27,152.796,387.676666666667,0.572743116798291,NA,NA
21,28,206.439,281.25,0.483682847056179,NA,NA
22,23,138.584,138.62,0,"154536","7962"
22,27,206.6836,244.123333333333,0.0989878747207693,NA,NA
22,28,127.7757,145.446666666667,0.326045579764588,NA,NA
23,24,95.1178,197.025,0.00188398361607105,NA,NA
23,28,201.3595,219.606666666667,0.206897305221797,NA,NA
23,29,115.4031,133.83,0.000283354852126894,NA,NA
24,25,589.413,609.691666666667,0.0189150868889748,NA,NA
24,29,197.1531,311.406666666667,0.0061804728505548,NA,NA
25,29,609.7252,546.596666666667,0.0163937787055546,NA,NA
26,27,86.4877,220.136666666667,0.72315915807584,NA,NA
26,30,112.6354,289.583333333333,1,NA,NA
27,28,108.4627,181.441666666667,0.196927607371013,NA,NA
27,30,95.5946,225.293333333333,0.62676278078178,NA,NA
28,30,132.6984,299.395,0.577368361162125,NA,NA
