"from","to","dist","dur","share_unnamed","X.gmapdist.","X.gmapdur."
1,2,152.8152,513.783333333333,1,NA,NA
1,6,2428.6753,2090.85166666667,0.400679621660339,NA,NA
1,8,434.8513,444.798333333333,0.655644663901278,NA,NA
2,3,56.3213,338.01,1,NA,NA
2,7,2437.2382,2458.51666666667,0.402785300524007,NA,NA
2,8,426.867,800.053333333333,0.649203780473178,NA,NA
2,9,410.2337,778.511666666667,0.671416964809588,NA,NA
3,4,348.8509,987.658333333333,0.947652149485024,NA,NA
3,8,483.1882,1138.07833333333,0.690093075515281,NA,NA
3,9,466.5549,1116.53666666667,0.711082509028946,NA,NA
3,10,389.8676,1032.405,0.847952997376545,NA,NA
4,9,117.704,128.878333333333,0.00993764018215184,NA,NA
4,10,41.0167,44.7466666666667,0,NA,NA
4,11,322.136,427.071666666667,0.905427269583487,NA,NA
5,6,74.8482,68.405,0.7830398285599,NA,NA
5,17,194.067,269.753333333333,0.567440918569833,NA,NA
5,18,52.4351,48.825,0.596320022275155,NA,NA
5,19,40.4397,56.7183333333333,0.598437677733322,NA,NA
6,18,90.1404,73.2933333333333,0.945330778797053,NA,NA
6,19,61.1638,64.065,1,NA,NA
6,20,347.0924,421.546666666667,1,NA,NA
7,21,446.2754,603.808333333333,0.897231171603902,NA,NA
8,9,18.2387,24.7983333333333,0.202515543956225,NA,NA
8,20,2118.0823,1935.97833333333,0.243327489524603,NA,NA
8,22,32.1609,38.9633333333333,0.0887882142235268,NA,NA
9,10,76.6874,84.1316666666667,0.0152528515151792,NA,NA
9,21,2056.882,1963.07333333333,0.248419306503727,NA,NA
9,22,15.5276,17.4183333333333,0.0753303794533605,NA,NA
9,23,64.2484,102.135,0.275146151499493,NA,NA
10,11,177.9746,413.566666666667,0.873724606614993,NA,NA
10,22,61.1598,66.7133333333333,0,NA,NA
10,23,67.2304,104.64,0.59322954084691,NA,NA
10,24,124.0985,268.438333333333,0.818903532274766,NA,NA
11,12,181.9774,298.936666666667,0.923358149574453,NA,NA
11,23,142.3023,357.391666666667,1,NA,NA
11,24,53.8761,145.036666666667,1,NA,NA
11,25,61.7268,150.595,1,NA,NA
12,24,198.681,321.23,0.932025206235121,NA,NA
12,25,122.3163,151.011666666667,0.889587259282272,NA,NA
13,14,106.8009,162.44,1,NA,NA
13,28,117.2541,401.878333333333,0.711954389615706,NA,NA
13,29,91.5146,113.4,0.560549421129985,NA,NA
13,30,106.9121,178.283333333333,0.416580536721288,NA,NA
14,15,78.0596,181.395,1,NA,NA
14,29,197.3581,270.071666666667,0.79622766748751,NA,NA
14,30,212.7556,334.955,0.706825108246269,NA,NA
14,31,308.6251,498.306666666667,0.503827783287879,NA,NA
15,16,73.3554,177.51,1,NA,NA
15,30,285.5409,508.241666666667,0.78155641396507,NA,NA
15,31,194.5658,447.346666666667,0.472040578539199,NA,NA
15,32,134.8854,337.521666666667,0.514586456354802,NA,NA
16,31,132.6933,315.935,0.225863361807474,NA,NA
16,32,73.0129,206.11,0.10323914919261,NA,NA
16,33,131.7692,294.31,0.0828082999543141,NA,NA
17,18,141.6318,220.973333333333,0.695303381940625,NA,NA
17,34,59.4725,131.345,1,NA,NA
17,35,190.386,264.125,0.747446633390393,NA,NA
18,19,55.7038,62.9933333333333,0.911534021854843,NA,NA
18,34,82.1593,89.6283333333333,0.235895101473477,NA,NA
18,35,48.7541,43.1516666666667,0.898923579917217,NA,NA
18,36,198.5574,195.711666666667,0.975181484044412,NA,NA
19,20,312.7139,410.666666666667,1,NA,NA
19,35,94.6362,94.7666666666667,1,NA,NA
19,36,244.4394,247.326666666667,1,NA,NA
19,37,306.342,293.983333333333,0.810085460041392,NA,NA
20,21,251.2424,544.718333333333,0.817454378719516,NA,NA
20,36,100.3321,211.526666666667,1,NA,NA
20,37,162.2348,258.183333333333,0.641391145050966,NA,NA
20,38,223.3572,301.328333333333,0.465872154557811,NA,NA
21,22,960.6159,1103.06333333333,0.82686930332925,NA,NA
21,37,117.6787,306.908333333333,0.861016479617807,NA,NA
21,38,178.8011,350.053333333333,0.566681319812171,NA,NA
21,39,1983.9973,3052.52833333333,0.351116067434561,NA,NA
22,23,48.7208,84.7166666666667,0.338828590663536,NA,NA
22,38,1862.5533,1595.705,0.21930981622431,NA,NA
22,39,1239.3561,2330.235,0.736108914629856,NA,NA
22,40,1195.7355,2094.85666666667,0.726482129742082,NA,NA
23,24,88.4261,212.291666666667,1,NA,NA
23,39,1245.4267,2368.13,0.76454445408505,NA,NA
23,40,1201.8061,2132.75166666667,0.755998389091085,NA,NA
23,41,1122.9142,1938.80666666667,0.738855738043031,NA,NA
24,25,76.3777,170.19,1,NA,NA
24,40,1029.7902,2042.46666666667,0.784552544338396,NA,NA
24,41,950.8984,1848.52166666667,0.766677831545638,NA,NA
24,42,91.7071,204.713333333333,1,NA,NA
25,41,874.5207,1678.33166666667,0.746300259524988,NA,NA
25,42,15.3295,34.5233333333333,1,NA,NA
25,43,680.1808,1233.26666666667,0.673813638961876,NA,NA
26,27,58.7358,87.68,0.30561088807848,NA,NA
26,43,606.5388,1160.875,0.569295271446083,NA,NA
26,44,589.5255,1058.975,0.556865498393368,NA,NA
